,author,rating,title,content,date,verified,image_url,Actual_Label,sentiment,Adjacent_Words,Positive_Count,Negative_Count
200,dgeneseb,2.0,Couldn't Use It,"
I bought this camera for my out of town trip not knowing it didn't have a battery charger. What little charge was on the battery, dissipated in less than half an hour so I packed it up for a return. I should not have to pay a separate fee for a battery charger. Also, the manual was not in English. The user is instructed to go online to view it there or download for printing. Again, why sell a product in the US without an English manual.
","Reviewed in the United States on September 8, 2023",Verified Purchase,,0,-0.10416666666666666,,0,0
86,R Hays,5.0,Awesome camera that is very user friendly,"
The camera is light weight, easier to use than upscale professional models and it’s very versatile with capabilities for still photos, video and built-in WiFi
","Reviewed in the United States on September 8, 2023",Verified Purchase,,1,0.2333333333333333,light,0,0
85,Patlina ,5.0,Awesome camera,"
This is a very good camera for beginners and is always powerful enough for broadcast quality photography and video. A big bang for the buck!
","Reviewed in the United States on September 7, 2023",Verified Purchase,,1,0.3025,"good, camera",1,0
97,Daniel Fernando Monroy Tequia,5.0,,"
La compre para iniciar en el mundo de la fotografía y es muy buen producto.
","Reviewed in the United States on September 5, 2023",Verified Purchase,,1,0.0,,0,0
64,MariachiTmelord,5.0,Excellent Choice!,"
I've read up on this camera being a great starter camera. And they're right! It's very simple to use. Even if you don't know the ins and outs of settings. They do have simple/set modes. But should you be able to drive into more of the finer settings, manual mode has got your back!
","Reviewed in the United States on September 29, 2023",Verified Purchase,https://m.media-amazon.com/images/I/61MYdc99YjL._SY88.jpg,1,0.3595238095238095,"great, starter, camera",1,0
181,Stephanie,3.0,Idk,"
I’m not a pro. I bought this to do photos for one of my listings. It’s okay!
","Reviewed in the United States on September 28, 2023",Verified Purchase,,0,0.625,,0,0
173,Purva,3.0,No so great product,"
Rating: ⭐⭐⭐☆☆ (3/5)Pros:Affordable Pricing: The Camera comes at a budget-friendly price point, making it accessible to a wide range of consumers.Decent Image Quality: While not exceptional, the camera delivers reasonably good image quality in well-lit conditions, suitable for everyday photography.Compact and Lightweight: The camera's portability makes it easy to carry around, making it a suitable choice for travelers and casual photographers.User-Friendly Interface: The camera's intuitive user interface and straightforward controls make it beginner-friendly.Cons:Mediocre Low-Light Performance: In low-light conditions, the Camera struggles to capture clear and sharp images, resulting in noise and reduced detail.Limited Features: This camera lacks advanced features and settings that enthusiasts and professionals may seek, limiting its versatility.Slow Autofocus: The autofocus system can be sluggish, especially when tracking moving subjects, making it less suitable for capturing fast-paced action.Limited Video Capabilities: Video quality is subpar, with limited resolution options and no advanced video features.Build Quality: The camera's construction feels somewhat cheap, and it may not withstand rough handling or adverse weather conditions.Overall, the Camera is an entry-level camera that delivers average performance for its price. It's a decent option for those who prioritize affordability and simplicity but may not satisfy users looking for more advanced photography features or superior image quality, especially in challenging lighting situations.
","Reviewed in the United States on September 27, 2023",Verified Purchase,,0,0.20206043956043954,"intuitive, advanced, entry-level, image, quality, good, well-lit, subpar, superior, advanced, budget-friendly",5,0
36,IKOIKO2112,5.0,Versatile entry level camera,"
This camera provides the flexibility to photograph a wide variety of subjects.  The two lenses allow for close up snapshots, scenic shots and the telephoto lens is great as well.  If you’re a beginner with digital photography, it may take some time to get comfortable with the setting options.  The beauty of digital is you can take photos with different settings/lenses and immediately see the results.  The camera bag that comes with the package is functional, but the divider is fixed and doesn’t accommodate the camera with the zoom lens attached as well as it could.  All in all, a solid camera and lens combo that will work for most casual photography needs.
","Reviewed in the United States on September 23, 2023",Verified Purchase,https://m.media-amazon.com/images/I/31VUn1rCcZL._SY88.jpg,1,0.12000000000000002,"solid, digital, most, casual",1,0
62,Sarah,5.0,Amazing for sports!,"
I didn’t include a picture of my daughters team playing because I don’t want those kids’ faces on the internet.I absolutely love this camera! I’m a first-timer at this photography stuff.Wherever I’m going to take photos, I YouTube the settings that are appropriate for the situation.The photos all turn out incredible, for how inexpensive this camera is.Very happy with this camera!
","Reviewed in the United States on September 21, 2023",Verified Purchase,https://m.media-amazon.com/images/I/7190ozyVcQL._SY88.jpg,1,0.75625,"inexpensive, happy",2,0
41,Amanda S.,5.0,Love the quality!,"
I first purchased this camera for my trip with my boyfriend back in June. I wanted to make sure I captured quality memories, so I bought this camera. She did not disappoint! Battery life lasts very long, I usually just charged it at the end of every day. These are all raw photos from the camera, unedited and so pretty. If this is your starter camera like it was for me, it definitely takes some time getting used to the controls, but it’s easier to use over time! Speed of capture can be fast or slow depending if you want it focused and non-blurry or in the moment. I definitely want to bring her on all of my future trips. :-)
","Reviewed in the United States on September 20, 2023",Verified Purchase,https://m.media-amazon.com/images/I/71dNpyxxJML._SY88.jpg,1,0.07532544378698224,"unedited, starter",0,0
